Day_Of_Week,Dep_Delay,Arr_Delay,Flight_Duration,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft,Aicraft_age,LATITUDE,LONGITUDE,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Month,Day,Airline,Tail_Number,Dep_Airport,DepTime_label,Arr_Airport,Distance_type,Manufacturer,Model,Dep_Delay_Tag
1,-2,0,77,0,0,0,0,0,18,36.08036,-115.15233,33.8,26.1,41.1,0.0,0.0,237.0,7.9,1010.6,8,28,Allegiant Air,N282NV,LAS,Afternoon,PVU,Short Haul >1500Mi,AIRBUS,A320,0
4,87,88,107,70,0,1,0,17,4,36.12448,-86.67818,19.3,6.7,23.3,45.0,0.0,207.0,22.0,1011.3,2,16,American Eagle Airlines Inc.,N293NN,BNA,Afternoon,TPA,Short Haul >1500Mi,EMBRAER,170/175,1
1,-5,-15,73,0,0,0,0,0,18,45.57093,-84.79672,-1.0,-2.2,0.0,0.6,0.0,271.0,14.0,1017.2,12,11,Skywest Airlines Inc.,N778SK,PLN,Morning,DTW,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
6,-2,-23,65,0,0,0,0,0,24,29.98047,-95.33972,23.6,15.0,27.2,2.8,0.0,241.0,14.0,1014.8,12,9,American Airlines Inc.,N949AN,IAH,Morning,DFW,Short Haul >1500Mi,BOEING,737 NG,0
6,123,115,46,21,0,0,0,94,9,43.13986,-89.33751,-7.6,-12.1,-4.0,0.0,0.0,286.0,24.0,1016.6,3,18,American Eagle Airlines Inc.,N220NN,MSN,Evening,ORD,Short Haul >1500Mi,EMBRAER,170/175,1
2,-2,-8,79,0,0,0,0,0,24,38.69542,-121.59077,9.7,5.0,13.9,0.0,0.0,328.0,6.6,1021.0,12,26,Southwest Airlines Co.,N769SW,SMF,Afternoon,SAN,Short Haul >1500Mi,BOEING,737 NG,0
3,23,20,102,6,0,0,0,14,17,33.43417,-112.00806,27.4,17.8,33.3,0.0,0.0,108.0,10.8,1004.4,4,12,Southwest Airlines Co.,N7886A,PHX,Morning,DEN,Short Haul >1500Mi,BOEING,737 NG,1
5,7,6,112,0,0,0,0,0,11,39.04614,-84.66217,-1.4,-7.1,6.7,0.0,0.0,210.0,19.1,1018.3,1,27,Endeavor Air,N296PQ,CVG,Afternoon,JFK,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,1
3,-6,-7,120,0,0,0,0,0,17,41.9796,-87.90446,19.4,17.2,22.2,0.5,0.0,96.0,13.3,1017.6,9,27,United Air Lines Inc.,N4888U,ORD,Afternoon,RDU,Short Haul >1500Mi,AIRBUS,A319,0
3,-12,-25,57,0,0,0,0,0,13,29.98047,-95.33972,27.3,22.2,35.6,0.0,0.0,37.0,6.8,1013.9,9,27,Southwest Airlines Co.,N960WN,IAH,Morning,DAL,Short Haul >1500Mi,BOEING,737 NG,0
3,3,26,89,3,0,23,0,0,10,37.619,-122.37484,14.9,12.8,15.6,33.0,0.0,101.0,13.7,1008.0,12,20,Skywest Airlines Inc.,N117SY,SFO,Afternoon,RNO,Short Haul >1500Mi,EMBRAER,170/175,1
7,20,-6,221,0,0,0,0,0,8,42.21206,-83.34884,-0.6,-1.7,0.6,5.8,0.0,359.0,4.7,1013.1,1,22,Delta Air Lines Inc,N308DN,DTW,Afternoon,SLC,Short Haul >1500Mi,AIRBUS,A321,1
3,-1,2,83,0,0,0,0,0,15,36.12448,-86.67818,10.3,8.3,15.6,4.1,0.0,171.0,18.4,1022.6,3,22,American Airlines Inc.,N982AN,BNA,Morning,CLT,Short Haul >1500Mi,BOEING,737 NG,0
7,-6,-21,65,0,0,0,0,0,22,33.64044,-84.42694,26.3,20.0,32.8,0.0,0.0,29.0,3.3,1019.4,8,20,Southwest Airlines Co.,N426WN,ATL,Morning,JAN,Short Haul >1500Mi,BOEING,737 NG,0
6,-10,-10,148,0,0,0,0,0,3,47.44898,-122.30931,6.2,1.7,10.6,6.9,0.0,356.0,5.0,1007.1,11,18,Alaska Airlines Inc.,N929AK,SEA,Afternoon,LAS,Short Haul >1500Mi,BOEING,737 NG,0
6,-7,-18,87,0,0,0,0,0,9,39.29761,-94.71391,12.5,4.4,20.0,0.0,0.0,150.0,17.6,1023.6,4,8,Skywest Airlines Inc.,N135SY,MCI,Morning,ORD,Short Haul >1500Mi,EMBRAER,170/175,0
3,-6,-10,211,0,0,0,0,0,19,36.12448,-86.67818,28.0,23.3,33.3,0.3,0.0,209.0,11.2,1018.2,7,26,Southwest Airlines Co.,N7713A,BNA,Afternoon,PHX,Short Haul >1500Mi,BOEING,737 NG,0
5,45,36,177,33,0,0,0,3,32,42.21206,-83.34884,17.5,16.1,19.4,0.3,0.0,358.0,9.3,1016.8,9,8,Delta Air Lines Inc,N327NW,DTW,Morning,AUS,Short Haul >1500Mi,AIRBUS,A320,1
2,-5,-14,106,0,0,0,0,0,17,33.43417,-112.00806,32.2,23.9,40.6,0.0,0.0,6.0,6.5,1009.5,9,26,Southwest Airlines Co.,N279WN,PHX,Evening,SMF,Short Haul >1500Mi,BOEING,737 NG,0
2,-1,-20,91,0,0,0,0,0,2,39.29761,-94.71391,15.9,7.8,25.0,0.0,0.0,196.0,15.5,1021.6,4,11,Southwest Airlines Co.,N8766T,MCI,Afternoon,DEN,Short Haul >1500Mi,BOEING,737 NG,0
4,-7,-31,320,0,0,0,0,0,5,40.6925,-74.16866,21.5,17.6,26.0,0.0,0.0,14.0,14.5,1014.0,8,31,United Air Lines Inc.,N12006,EWR,Morning,LAX,Medium Haul <3000Mi,BOEING,787,0
1,175,177,140,175,0,2,0,0,24,39.87195,-75.24114,25.6,20.6,30.0,0.0,0.0,201.0,11.2,1018.5,7,24,American Airlines Inc.,N757UW,PHL,Morning,ATL,Short Haul >1500Mi,AIRBUS,A319,1
1,5,12,267,0,0,0,0,0,22,36.12448,-86.67818,19.6,13.9,26.1,0.0,0.0,319.0,7.9,1016.8,9,18,Southwest Airlines Co.,N7865A,BNA,Afternoon,BUR,Medium Haul <3000Mi,BOEING,737 NG,1
5,2,-15,173,0,0,0,0,0,2,33.67566,-117.86822,18.1,17.2,20.0,0.0,0.0,253.0,7.0,1016.1,6,9,American Airlines Inc.,N464AA,SNA,Morning,DFW,Short Haul >1500Mi,AIRBUS,A321,1
3,6,-5,144,0,0,0,0,0,15,29.98047,-95.33972,31.1,27.8,36.7,0.0,0.0,195.0,14.8,1013.0,7,12,Skywest Airlines Inc.,N792SK,IAH,Evening,TUS,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,1
1,-15,-7,128,0,0,0,0,0,23,38.17439,-85.736,20.9,15.0,30.0,0.0,0.0,345.0,9.4,1014.2,5,29,Allegiant Air,N243NV,SDF,Evening,SRQ,Short Haul >1500Mi,AIRBUS,A320,0
